################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.1905	   3.1623	0.0167299	  3.35903	0.00112445	  10.0074	   9.9907	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.2385	0.0167299	  3.35903	0.00112445	  10.0073	  9.99055	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.3147	0.0167299	  3.35903	0.00112445	  10.0071	   9.9904	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.3909	0.0167299	  3.35903	0.00112445	   10.007	  9.99025	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.4671	0.0167299	  3.35903	0.00112445	  10.0068	  9.99009	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.5433	0.0167299	  3.35903	0.00112445	  10.0067	  9.98994	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.6195	0.0167299	  3.35903	0.00112445	  10.0065	  9.98979	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.6957	0.0167299	  3.35903	0.00112445	  10.0064	  9.98964	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.7719	0.0167299	  3.35903	0.00112445	  10.0062	  9.98948	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.8481	0.0167299	  3.35903	0.00112445	  10.0061	  9.98933	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.9243	0.0167299	  3.35903	0.00112445	  10.0059	  9.98918	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   4.0005	0.0167299	  3.35903	0.00112445	  10.0058	  9.98903	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   4.0767	0.0167299	  3.35903	0.00112445	  10.0056	  9.98887	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   4.1529	0.0167299	  3.35903	0.00112445	  10.0055	  9.98872	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   4.2291	0.0167299	  3.35903	0.00112445	  10.0053	  9.98857	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961

0.2667	   0.0381	0.0175633	  3.19131	0.000582818	   10.013	  9.99543	  3.19131	  7.68831	0.00427101	  7.8e-07	  0.05605
0.2667	   0.1143	0.0175957	  3.19196	0.00130532	  10.0129	  9.99528	  3.19196	   7.6828	0.00427977	1.75017e-06	0.0561649
0.2667	   0.1905	0.0176031	  3.19206	0.00147198	  10.0127	  9.99512	  3.19206	  7.68142	0.0042817	1.97445e-06	0.0561903
0.2667	   0.2667	0.0176046	  3.19207	0.00150425	  10.0126	  9.99497	  3.19207	  7.68114	0.00428207	2.0179e-06	0.0561951
0.2667	   0.3429	0.0176048	  3.19208	0.00150983	  10.0124	  9.99482	  3.19208	  7.68109	0.00428213	2.02542e-06	 0.056196
0.2667	   0.4191	0.0176049	  3.19208	0.00151072	  10.0123	  9.99467	  3.19208	  7.68108	0.00428214	2.02662e-06	0.0561961
0.2667	   0.4953	0.0176049	  3.19208	0.00151086	  10.0121	  9.99451	  3.19208	  7.68108	0.00428214	2.0268e-06	0.0561961
0.2667	   0.5715	0.0176049	  3.19208	0.00151088	   10.012	  9.99436	  3.19208	  7.68108	0.00428214	2.02683e-06	0.0561961
0.2667	   0.6477	0.0176049	  3.19208	0.00151088	  10.0118	  9.99421	  3.19208	  7.68108	0.00428214	2.02683e-06	0.0561961
0.2667	   0.7239	0.0176049	  3.19208	0.00151088	  10.0117	  9.99406	  3.19208	  7.68108	0.00428214	2.02683e-06	0.0561961
0.2667	   0.8001	0.0176049	  3.19208	0.00151088	  10.0115	   9.9939	  3.19208	  7.68108	0.00428214	2.02683e-06	0.0561961
0.2667	   0.8763	0.0176049	  3.19208	0.00151088	  10.0114	  9.99375	  3.19208	  7.68108	0.00428214	2.02683e-06	0.0561961
